price,address,beds,baths,sqft,link,lot_size
800000.0,"12 Lovell St #2, Somerville, MA 02144",3,1,1975.0,https://www.zillow.com/homedetails/12-Lovell-St-2-Somerville-MA-02144/339506499_zpid/,0
830000.0,"25 Atherton St APT 17, Somerville, MA 02143",2,1,1018.0,https://www.zillow.com/homedetails/25-Atherton-St-APT-17-Somerville-MA-02143/56537363_zpid/,0
849000.0,"294 Beacon #2, Somerville, MA 02143",2,1,809.0,https://www.zillow.com/homedetails/294-Beacon-2-Somerville-MA-02143/348188209_zpid/,0
1280000.0,"294 Beacon PENTHOUSE 5, Somerville, MA 02143",3,3,1571.0,https://www.zillow.com/homedetails/294-Beacon-PENTHOUSE-5-Somerville-MA-02143/348392195_zpid/,0
1300000.0,"13 Wilson Ave, Somerville, MA 02145",4,2,1597.0,https://www.zillow.com/homedetails/13-Wilson-Ave-Somerville-MA-02145/56327578_zpid/,0
890000.0,"349 Alewife Brook Pkwy, Somerville, MA 02144",4,3,2208.0,https://www.zillow.com/homedetails/349-Alewife-Brook-Pkwy-Somerville-MA-02144/56324763_zpid/,0
988000.0,"4 Virginia St, Somerville, MA 02145",3,2,1723.0,https://www.zillow.com/homedetails/4-Virginia-St-Somerville-MA-02145/56537703_zpid/,0
1040000.0,"14 14r Gln, Somerville, MA 02145",3,4,1762.0,https://www.zillow.com/homedetails/14-14r-Gln-Somerville-MA-02145/352482825_zpid/,0
480000.0,"15 Adams St UNIT 4, Somerville, MA 02145",N/A,1,635.0,https://www.zillow.com/homedetails/15-Adams-St-UNIT-4-Somerville-MA-02145/63010189_zpid/,0
1030000.0,"46 Craigie St #C, Somerville, MA 02144",2,2,1300.0,https://www.zillow.com/homedetails/46-Craigie-St-C-Somerville-MA-02144/98379707_zpid/,0
2350000.0,"24-24 Chester St, Somerville, MA 02144",6,4,4368.0,https://www.zillow.com/homedetails/24-24-Chester-St-Somerville-MA-02144/402828437_zpid/,0
1450000.0,"102 Thurston St #R, Somerville, MA 02145",4,4,2316.0,https://www.zillow.com/homedetails/102-Thurston-St-R-Somerville-MA-02145/2056320776_zpid/,0
1250000.0,"58-60 Boston Ave, Somerville, MA 02144",4,2,2410.0,https://www.zillow.com/homedetails/58-60-Boston-Ave-Somerville-MA-02144/2062009341_zpid/,0
1050000.0,"45 Bromfield Rd #1, Somerville, MA 02144",3,3,1302.0,https://www.zillow.com/homedetails/45-Bromfield-Rd-1-Somerville-MA-02144/56324536_zpid/,0
800000.0,"79 Vernon St, Somerville, MA 02145",3,1,1475.0,https://www.zillow.com/homedetails/79-Vernon-St-Somerville-MA-02145/56329472_zpid/,0
1700000.0,"42 Sargent Ave, Somerville, MA 02145",4,3,2826.0,https://www.zillow.com/homedetails/42-Sargent-Ave-Somerville-MA-02145/56332561_zpid/,0
1300000.0,"47 Oak St #B, Somerville, MA 02143",3,3,1694.0,https://www.zillow.com/homedetails/47-Oak-St-B-Somerville-MA-02143/348429296_zpid/,0
1150000.0,"55 Derby St #1, Somerville, MA 02145",4,4,2375.0,https://www.zillow.com/homedetails/55-Derby-St-1-Somerville-MA-02145/2097243610_zpid/,0
1200000.0,"164 Hudson St, Somerville, MA 02144",3,2,2191.0,https://www.zillow.com/homedetails/164-Hudson-St-Somerville-MA-02144/56328636_zpid/,0
666250.0,"10 Hall St #2, Somerville, MA 02144",2,1,982.0,https://www.zillow.com/homedetails/10-Hall-St-2-Somerville-MA-02144/101622348_zpid/,0
1430000.0,"42 Moore St #42, Somerville, MA 02144",3,4,1818.0,https://www.zillow.com/homedetails/42-Moore-St-42-Somerville-MA-02144/401319978_zpid/,0
1110000.0,"20 Fairfax St, Somerville, MA 02144",5,2,2208.0,https://www.zillow.com/homedetails/20-Fairfax-St-Somerville-MA-02144/56324742_zpid/,0
990000.0,"95 Glenwood Rd, Somerville, MA 02145",6,2,2070.0,https://www.zillow.com/homedetails/95-Glenwood-Rd-Somerville-MA-02145/56329339_zpid/,0
1070000.0,"200 Broadway, Somerville, MA 02145",6,3,2854.0,https://www.zillow.com/homedetails/200-Broadway-Somerville-MA-02145/56333908_zpid/,0
1630000.0,"45 Mason St, Somerville, MA 02144",8,2,3202.0,https://www.zillow.com/homedetails/45-Mason-St-Somerville-MA-02144/56326086_zpid/,0
1550000.0,"5 Webster St, Somerville, MA 02145",4,4,2481.0,https://www.zillow.com/homedetails/5-Webster-St-Somerville-MA-02145/56334124_zpid/,0
1500000.0,"15 Bailey St, Somerville, MA 02144",3,2,1468.0,https://www.zillow.com/homedetails/15-Bailey-St-Somerville-MA-02144/56324985_zpid/,0
2800000.0,"264 Willow Ave, Somerville, MA 02144",5,5,4007.0,https://www.zillow.com/homedetails/264-Willow-Ave-Somerville-MA-02144/56326662_zpid/,0
870000.0,"90 Alpine St, Somerville, MA 02144",3,2,1045.0,https://www.zillow.com/homedetails/90-Alpine-St-Somerville-MA-02144/56328521_zpid/,0
651800.0,"11 Pembroke St APT 3, Somerville, MA 02145",2,1,1281.0,https://www.zillow.com/homedetails/11-Pembroke-St-APT-3-Somerville-MA-02145/59214106_zpid/,0
360000.0,"419 Norfolk St UNIT 1F, Somerville, MA 02143",N/A,1,294.0,https://www.zillow.com/homedetails/419-Norfolk-St-UNIT-1F-Somerville-MA-02143/63010298_zpid/,0
720000.0,"101 W Adams St, Somerville, MA 02144",3,1,1078.0,https://www.zillow.com/homedetails/101-W-Adams-St-Somerville-MA-02144/166006404_zpid/,0
1080000.0,"12 Fairmount Ave, Somerville, MA 02144",3,2,1632.0,https://www.zillow.com/homedetails/12-Fairmount-Ave-Somerville-MA-02144/166056654_zpid/,0
720000.0,"103 W Adams St UNIT 103, Somerville, MA 02144",2,1,995.0,https://www.zillow.com/homedetails/103-W-Adams-St-UNIT-103-Somerville-MA-02144/349488824_zpid/,0
1080000.0,"12 Fairmount Ave #2, Somerville, MA 02144",3,2,1825.0,https://www.zillow.com/homedetails/12-Fairmount-Ave-2-Somerville-MA-02144/2103004015_zpid/,0
437000.0,"91 Summer St APT 2, Somerville, MA 02143",N/A,1,500.0,https://www.zillow.com/homedetails/91-Summer-St-APT-2-Somerville-MA-02143/56330907_zpid/,0
903000.0,"24 Jackson Rd #2, Somerville, MA 02145",3,2,1620.0,https://www.zillow.com/homedetails/24-Jackson-Rd-2-Somerville-MA-02145/245572050_zpid/,0
1100000.0,"21 Murdock St #21B, Somerville, MA 02145",2,2,1470.0,https://www.zillow.com/homedetails/21-Murdock-St-21B-Somerville-MA-02145/331737155_zpid/,0
1120000.0,"107 Josephine Ave #A, Somerville, MA 02144",3,3,2083.0,https://www.zillow.com/homedetails/107-Josephine-Ave-A-Somerville-MA-02144/348893411_zpid/,0
1100000.0,"21 Murdock St #B, Somerville, MA 02145",2,2,1470.0,https://www.zillow.com/homedetails/21-Murdock-St-B-Somerville-MA-02145/2075818463_zpid/,0
990000.0,"51 Dimick St APT 5, Somerville, MA 02143",3,2,1142.0,https://www.zillow.com/homedetails/51-Dimick-St-APT-5-Somerville-MA-02143/80389878_zpid/,0
720000.0,"104 Woodstock St UNIT 5, Somerville, MA 02144",2,2,1156.0,https://www.zillow.com/homedetails/104-Woodstock-St-UNIT-5-Somerville-MA-02144/80861545_zpid/,0
995000.0,"371 Broadway #2, Somerville, MA 02145",3,3,2090.0,https://www.zillow.com/homedetails/371-Broadway-2-Somerville-MA-02145/331737216_zpid/,0
1050000.0,"12 Glen St #12, Somerville, MA 02145",2,2,1738.0,https://www.zillow.com/homedetails/12-Glen-St-12-Somerville-MA-02145/349040781_zpid/,0
2620000.0,"21 Village St #21, Somerville, MA 02143",3,3,4144.0,https://www.zillow.com/homedetails/21-Village-St-21-Somerville-MA-02143/2055530176_zpid/,0
2300000.0,"81 Lowell St, Somerville, MA 02143",4,5,3231.0,https://www.zillow.com/homedetails/81-Lowell-St-Somerville-MA-02143/56329140_zpid/,0
1230000.0,"40 Houghton St, Somerville, MA 02143",6,3,2032.0,https://www.zillow.com/homedetails/40-Houghton-St-Somerville-MA-02143/56333693_zpid/,0
415000.0,"112 Sycamore St APT 2, Somerville, MA 02145",N/A,1,658.0,https://www.zillow.com/homedetails/112-Sycamore-St-APT-2-Somerville-MA-02145/71142608_zpid/,0
1310000.0,"35 Lowden Ave #2, Somerville, MA 02144",3,3,1804.0,https://www.zillow.com/homedetails/35-Lowden-Ave-2-Somerville-MA-02144/120576198_zpid/,0
925000.0,"71 Bow St #502, Somerville, MA 02143",2,1,884.0,https://www.zillow.com/homedetails/71-Bow-St-502-Somerville-MA-02143/341584324_zpid/,0
889000.0,"71 Bow St #403, Somerville, MA 02143",N/A,1,940.0,https://www.zillow.com/homedetails/71-Bow-St-403-Somerville-MA-02143/347195315_zpid/,0
756000.0,"71 Bow St #504, Somerville, MA 02143",N/A,1,638.0,https://www.zillow.com/homedetails/71-Bow-St-504-Somerville-MA-02143/348750876_zpid/,0
1600000.0,"7 Richdale Ave, Somerville, MA 02145",9,3,3811.0,https://www.zillow.com/homedetails/7-Richdale-Ave-Somerville-MA-02145/56330608_zpid/,0
935000.0,"26 Grand View Ave #1, Somerville, MA 02143",2,2,1765.0,https://www.zillow.com/homedetails/26-Grand-View-Ave-1-Somerville-MA-02143/2063007986_zpid/,0
1800000.0,"97 Prospect St #3, Somerville, MA 02143",3,3,1838.0,https://www.zillow.com/homedetails/97-Prospect-St-3-Somerville-MA-02143/125452749_zpid/,0
840000.0,"90 College Ave #2, Somerville, MA 02144",2,2,1381.0,https://www.zillow.com/homedetails/90-College-Ave-2-Somerville-MA-02144/2062618213_zpid/,0
1490000.0,"61 Hudson St, Somerville, MA 02143",4,3,2087.0,https://www.zillow.com/homedetails/61-Hudson-St-Somerville-MA-02143/56537318_zpid/,0
610000.0,"9 Medford St APT 407, Somerville, MA 02143",N/A,1,697.0,https://www.zillow.com/homedetails/9-Medford-St-APT-407-Somerville-MA-02143/306207014_zpid/,0
2380000.0,"30 Forest St, Somerville, MA 02143",4,5,2827.0,https://www.zillow.com/homedetails/30-Forest-St-Somerville-MA-02143/56537249_zpid/,0
725000.0,"27 Waterhouse St #2, Somerville, MA 02144",2,2,1104.0,https://www.zillow.com/homedetails/27-Waterhouse-St-2-Somerville-MA-02144/84767281_zpid/,0
745000.0,"24-26 Barton St, Somerville, MA 02144",2,1,1202.0,https://www.zillow.com/homedetails/24-26-Barton-St-Somerville-MA-02144/347161342_zpid/,0
1400000.0,"395 Alewife Brook Pkwy PENTHOUSE D, Somerville, MA 02144",2,2,1972.0,https://www.zillow.com/homedetails/395-Alewife-Brook-Pkwy-PENTHOUSE-D-Somerville-MA-02144/2059997796_zpid/,0
1210000.0,"25 Windsor Rd #25, Somerville, MA 02144",3,2,1870.0,https://www.zillow.com/homedetails/25-Windsor-Rd-25-Somerville-MA-02144/347537629_zpid/,0
1700000.0,"14 Malvern Ave, Somerville, MA 02144",2,1,2870.0,https://www.zillow.com/homedetails/14-Malvern-Ave-Somerville-MA-02144/56326049_zpid/,0
1120000.0,"51 Oliver St #3, Somerville, MA 02145",3,3,2064.0,https://www.zillow.com/homedetails/51-Oliver-St-3-Somerville-MA-02145/339506712_zpid/,0
1380000.0,"58-1 Alpine St, Somerville, MA 02144",3,3,2397.0,https://www.zillow.com/homedetails/58-1-Alpine-St-Somerville-MA-02144/2053141987_zpid/,0
1120000.0,"53 Fairfax St, Somerville, MA 02144",4,2,2208.0,https://www.zillow.com/homedetails/53-Fairfax-St-Somerville-MA-02144/56324723_zpid/,0
1270000.0,"56 Governor Winthrop Rd, Somerville, MA 02145",5,2.5,2716.0,https://www.zillow.com/homedetails/56-Governor-Winthrop-Rd-Somerville-MA-02145/56332281_zpid/,0
876000.0,"24 Endicott Ave, Somerville, MA 02144",3,2,1392.0,https://www.zillow.com/homedetails/24-Endicott-Ave-Somerville-MA-02144/56325487_zpid/,0
560000.0,"9 Medford St APT 507, Somerville, MA 02143",N/A,1,697.0,https://www.zillow.com/homedetails/9-Medford-St-APT-507-Somerville-MA-02143/306207028_zpid/,0
1270000.0,"56 Governor Winthrop Rd #56, Somerville, MA 02145",4,3,2451.0,https://www.zillow.com/homedetails/56-Governor-Winthrop-Rd-56-Somerville-MA-02145/2055561902_zpid/,0
1420000.0,"7 Whitman St #1, Somerville, MA 02144",3,4,2000.0,https://www.zillow.com/homedetails/7-Whitman-St-1-Somerville-MA-02144/2057129897_zpid/,0
1280000.0,"8 Sycamore St #A, Somerville, MA 02143",3,3,2100.0,https://www.zillow.com/homedetails/8-Sycamore-St-A-Somerville-MA-02143/2058099179_zpid/,0
502250.0,"64 Bow St APT B, Somerville, MA 02143",N/A,1,571.0,https://www.zillow.com/homedetails/64-Bow-St-APT-B-Somerville-MA-02143/56332887_zpid/,0
590000.0,"70 Newton St, Somerville, MA 02143",4,2,1488.0,https://www.zillow.com/homedetails/70-Newton-St-Somerville-MA-02143/56333593_zpid/,0
1400000.0,"18 Weston Ave #2, Somerville, MA 02144",3,3,2258.0,https://www.zillow.com/homedetails/18-Weston-Ave-2-Somerville-MA-02144/342279026_zpid/,0
1710000.0,"89 Bromfield Rd, Somerville, MA 02144",6,2,3101.0,https://www.zillow.com/homedetails/89-Bromfield-Rd-Somerville-MA-02144/56326570_zpid/,0
1250000.0,"18 Woodbine St #2, Somerville, MA 02143",3,3,2100.0,https://www.zillow.com/homedetails/18-Woodbine-St-2-Somerville-MA-02143/2054443349_zpid/,0
